STATION_ID,LAT_DEG,LONG_DEG,YEAR_CONSTRUCTION,WELL_TYPE,WELL_DEPTH,DIVISION,DISTRICT,THANA,UNION,MOUZA,GEOCODE
S98_03713,23.31,90.435,1997.0,STW,20.0,Dhaka,Shariatpur,Naria,Kedarpur,Kedarpur,3866563592
S98_03714,23.262,90.475,1994.0,STW,28.0,Dhaka,Shariatpur,Naria,Dingamanik,Dingamanik,3866537341
S98_03715,23.276,90.485,1992.0,STW,22.0,Dhaka,Shariatpur,Naria,Gharisar,Baraipara,3866550083
S98_03716,23.288,90.43,1985.0,STW,25.0,Dhaka,Shariatpur,Naria,Bhumkhara,Chakdha,3866512182
S98_03717,23.271,90.393,1985.0,STW,24.0,Dhaka,Shariatpur,Naria,Fatejangpur,Sirangal,3866544934
S98_03718,23.237,90.416,1994.0,STW,20.0,Dhaka,Shariatpur,Naria,Bijhari,Bhadda,3866518106
S98_03719,22.887,89.903,1992.0,STW,18.0,Dhaka,Gopalganj,Tungipara,Patgati,Patgati,3359176814
S98_03720,22.875,89.924,1997.0,DTW,326.0,Dhaka,Gopalganj,Tungipara,Dumuria,Chato dumuria,3359128280
S98_03721,22.876,89.925,1995.0,STW,34.0,Dhaka,Gopalganj,Tungipara,Dumuria,Chato dumuria,3359128180
S98_03722,22.916,89.86,1988.0,STW,24.0,Dhaka,Gopalganj,Tungipara,Barni,Gimadanga,3359119429
S98_03723,22.941,89.856,1998.0,DTW,362.0,Dhaka,Gopalganj,Tungipara,Kushli,Kushli,3359166678
S98_03724,22.985,89.884,1998.0,DTW,360.0,Dhaka,Gopalganj,Tungipara,Gopalpur,Guadhana,3359138474
S98_03725,22.985,89.883,1986.0,STW,29.0,Dhaka,Gopalganj,Tungipara,Gopalpur,Guadhana,3359138474
S98_03726,23.159,89.805,1990.0,STW,30.0,Dhaka,Gopalganj,Kashiani,Bethuri,Rsudia,3354306802
S98_03727,23.182,89.789,1996.0,STW,34.0,Dhaka,Gopalganj,Kashiani,Orakandi,Tilchara,3354354988
S98_03728,23.193,89.735,1993.0,STW,39.0,Dhaka,Gopalganj,Kashiani,Ratail,Ratail,3354381808
S98_03729,23.211,89.718,1998.0,DTW,263.0,Dhaka,Gopalganj,Kashiani,Kashiani,Kashiani,3354327519
S98_03730,23.211,89.718,1985.0,STW,34.0,Dhaka,Gopalganj,Kashiani,Kashiani,Kashiani,3354327519
S98_03731,23.238,89.773,1985.0,STW,34.0,Dhaka,Gopalganj,Kashiani,Sajail,Bhattadhoba,3354388134
S98_03732,23.289,89.756,1993.0,STW,39.0,Dhaka,Gopalganj,Kashiani,Mahespur,Bishwanathpur,3354340166
S98_03733,23.168,90.354,1939.0,STW,22.0,Dhaka,Shariatpur,Palong,Rudrakar,Bara Sonamukhi,3866976105
S98_03734,23.19,90.317,1995.0,STW,15.0,Dhaka,Shariatpur,Palong,Chitalia,Kashipur,3866947602
S98_03735,23.175,90.302,1995.0,STW,15.0,Dhaka,Shariatpur,Palong,Angaria,Kashchar,3866909765
S98_03736,23.206,90.325,1947.0,STW,16.0,Dhaka,Shariatpur,Palong,Tulashar,Barail,3866995124
S98_03737,23.205,90.322,1990.0,DTW,195.0,Dhaka,Shariatpur,Palong,Tulshar,Barail,3866995124
S98_03738,23.241,90.358,1992.0,STW,49.0,Dhaka,Shariatpur,Palong,Palong,Kotapara,3866966805
S98_03739,23.251,90.343,1993.0,STW,22.0,Dhaka,Shariatpur,Palong,Domshar,Domshar,3866957497
S98_03740,23.198,90.339,1988.0,STW,20.0,Dhaka,Shariatpur,Palong,Paurashava W02,Uttar Madhapara,3866995994
S98_03741,22.988,90.007,1995.0,DTW,271.0,Dhaka,Gopalganj,Kotalipara,Ghagor,Mokshakotali,3355123636
S98_03742,23.112,90.021,1997.0,STW,66.0,Dhaka,Gopalganj,Kotalipara,Kalabari,Bil Baghia,3355139189
S98_03743,23.033,90.033,1972.0,STW,37.0,Dhaka,Gopalganj,Kotalipara,Radhaganj,Gobindapur,3355171378
S98_03744,22.927,90.005,1998.0,STW,26.0,Dhaka,Gopalganj,Kotalipara,Kandi,Dhara Basail,3355147288
